loss,accuracy,val_loss,val_accuracy
2.714622974395752,0.2846851348876953,3.0542569160461426,0.1577988862991333
1.2217200994491577,0.6032698750495911,1.920349359512329,0.4797307848930359
0.7391466498374939,0.7636735439300537,2.8591368198394775,0.2928740978240967
0.4877958297729492,0.8499680757522583,4.57204532623291,0.16611243784427643
0.34641391038894653,0.8951590061187744,0.7641088962554932,0.7817893624305725
0.2625919282436371,0.9219057559967041,1.4518972635269165,0.5841646790504456
0.2158346325159073,0.9362115263938904,0.21344490349292755,0.940617561340332
0.1820484697818756,0.9462255835533142,2.03912615776062,0.4725257456302643
0.14958591759204865,0.9561374187469482,0.2404414415359497,0.9384797811508179
0.1371416300535202,0.9607868194580078,1.9275480508804321,0.5612034797668457
