loss,accuracy,val_loss,val_accuracy
2.620313882827759,0.3031625747680664,0.9629277586936951,0.6929532885551453
0.9494565725326538,0.7014830112457275,0.3963499665260315,0.8689627647399902
0.5072750449180603,0.8402634263038635,0.22187061607837677,0.9306413531303406
0.3171361982822418,0.9043826460838318,5.4786224365234375,0.09477434307336807
0.22021475434303284,0.9359573125839233,0.13360090553760529,0.9626286625862122
0.15995661914348602,0.9534165263175964,0.3073311150074005,0.9239113330841064
0.1353098601102829,0.9617377519607544,0.12426836788654327,0.9654790163040161
0.10685531049966812,0.9702886939048767,0.11133155971765518,0.9683293700218201
0.09535904228687286,0.9730198979377747,0.20813369750976562,0.9406967759132385
0.08409234136343002,0.9767210483551025,0.24503640830516815,0.9433096051216125
