loss,accuracy,val_loss,val_accuracy
2.7106380462646484,0.2953123152256012,2.711320638656616,0.19382423162460327
0.9835655093193054,0.6909438967704773,1.1150715351104736,0.6787015199661255
0.4938753843307495,0.8482309579849243,3.446901321411133,0.15122723579406738
0.2966640591621399,0.9135521650314331,0.42822641134262085,0.8724465370178223
0.20252130925655365,0.942700207233429,1.12026047706604,0.7096595168113708
0.1545499563217163,0.9560096859931946,2.878263235092163,0.33531275391578674
0.12301232665777206,0.9659982323646545,0.8181642293930054,0.7941409349441528
0.09939227998256683,0.9728445410728455,1.2177109718322754,0.6779888868331909
0.08204436302185059,0.9778004884719849,0.24949513375759125,0.9315122961997986
0.07902626693248749,0.9783369302749634,0.29474398493766785,0.9280285239219666
